Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,int_rate,FICO.Score,annual_inc,home_ownership
20000,20000.0,8.90%,36,debt_consolidation,14.9,SC,MORTGAGE,6541.67,735-739,14.0,14272.0,2.0,< 1 year,8.9,735,78500.04,0
19200,19200.0,12.12%,36,debt_consolidation,28.36,TX,MORTGAGE,4583.33,715-719,12.0,11140.0,1.0,2 years,12.12,715,54999.96,0
35000,35000.0,21.98%,60,debt_consolidation,23.81,CA,MORTGAGE,11500.0,690-694,14.0,21977.0,1.0,2 years,21.98,690,138000.0,0
10000,9975.0,9.99%,36,debt_consolidation,14.3,KS,MORTGAGE,3833.33,695-699,10.0,9346.0,0.0,5 years,9.99,695,45999.96,0
12000,12000.0,11.71%,36,credit_card,18.78,NJ,RENT,3195.0,695-699,11.0,14469.0,0.0,9 years,11.71,695,38340.0,3
6000,6000.0,15.31%,36,other,20.05,CT,OWN,4891.67,670-674,17.0,10391.0,2.0,3 years,15.31,670,58700.04,2
10000,10000.0,7.90%,36,debt_consolidation,26.09,MA,RENT,2916.67,720-724,10.0,15957.0,0.0,10+ years,7.9,720,35000.04,3
33500,33450.0,17.14%,60,credit_card,14.7,LA,MORTGAGE,13863.42,705-709,12.0,27874.0,0.0,10+ years,17.14,705,166361.04,0
14675,14675.0,14.33%,36,credit_card,26.92,CA,RENT,3150.0,685-689,9.0,7246.0,1.0,8 years,14.33,685,37800.0,3
7000,7000.0,6.91%,36,credit_card,7.1,CA,RENT,5000.0,715-719,8.0,7612.0,0.0,3 years,6.91,715,60000.0,3
2000,2000.0,19.72%,36,moving,10.29,FL,RENT,3575.0,670-674,10.0,12036.0,0.0,6 years,19.72,670,42900.0,3
10625,10625.0,14.27%,36,debt_consolidation,12.54,CA,MORTGAGE,4250.0,665-669,14.0,10767.0,0.0,< 1 year,14.27,665,51000.0,0
28000,27975.0,21.67%,60,debt_consolidation,13.07,CT,MORTGAGE,14166.67,670-674,12.0,10311.0,0.0,1 year,21.67,670,170000.04,0
35000,34950.0,8.90%,36,debt_consolidation,20.46,CT,RENT,9166.67,735-739,19.0,21536.0,0.0,1 year,8.9,735,110000.04,3
9600,9600.0,7.62%,36,debt_consolidation,3.45,DC,RENT,11250.0,725-729,13.0,4606.0,0.0,< 1 year,7.62,725,135000.0,3
25000,24975.0,15.65%,60,debt_consolidation,21.99,CA,RENT,5416.67,730-734,6.0,13929.0,0.0,9 years,15.65,730,65000.04,3
10000,10000.0,12.12%,36,debt_consolidation,17.72,CA,RENT,9000.0,695-699,18.0,20317.0,0.0,7 years,12.12,695,108000.0,3
