,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,IR_TF,Intercept
0,20000,20000.0,8.9,36,debt_consolidation,14.9,SC,MORTGAGE,6541.67,735,14.0,14272.0,2.0,< 1 year,0.0,1
1,19200,19200.0,12.12,36,debt_consolidation,28.36,TX,MORTGAGE,4583.33,715,12.0,11140.0,1.0,2 years,1.0,1
2,35000,35000.0,21.98,60,debt_consolidation,23.81,CA,MORTGAGE,11500.0,690,14.0,21977.0,1.0,2 years,1.0,1
3,10000,9975.0,9.99,36,debt_consolidation,14.3,KS,MORTGAGE,3833.33,695,10.0,9346.0,0.0,5 years,0.0,1
4,12000,12000.0,11.71,36,credit_card,18.78,NJ,RENT,3195.0,695,11.0,14469.0,0.0,9 years,0.0,1
5,6000,6000.0,15.31,36,other,20.05,CT,OWN,4891.67,670,17.0,10391.0,2.0,3 years,1.0,1
6,10000,10000.0,7.9,36,debt_consolidation,26.09,MA,RENT,2916.67,720,10.0,15957.0,0.0,10+ years,0.0,1
7,33500,33450.0,17.14,60,credit_card,14.7,LA,MORTGAGE,13863.42,705,12.0,27874.0,0.0,10+ years,1.0,1
8,14675,14675.0,14.33,36,credit_card,26.92,CA,RENT,3150.0,685,9.0,7246.0,1.0,8 years,1.0,1
9,7000,7000.0,6.91,36,credit_card,7.1,CA,RENT,5000.0,715,8.0,7612.0,0.0,3 years,0.0,1
10,2000,2000.0,19.72,36,moving,10.29,FL,RENT,3575.0,670,10.0,12036.0,0.0,6 years,1.0,1
11,10625,10625.0,14.27,36,debt_consolidation,12.54,CA,MORTGAGE,4250.0,665,14.0,10767.0,0.0,< 1 year,1.0,1
12,28000,27975.0,21.67,60,debt_consolidation,13.07,CT,MORTGAGE,14166.67,670,12.0,10311.0,0.0,1 year,1.0,1
13,35000,34950.0,8.9,36,debt_consolidation,20.46,CT,RENT,9166.67,735,19.0,21536.0,0.0,1 year,0.0,1
14,9600,9600.0,7.62,36,debt_consolidation,3.45,DC,RENT,11250.0,725,13.0,4606.0,0.0,< 1 year,0.0,1
15,25000,24975.0,15.65,60,debt_consolidation,21.99,CA,RENT,5416.67,730,6.0,13929.0,0.0,9 years,1.0,1
16,10000,10000.0,12.12,36,debt_consolidation,17.72,CA,RENT,9000.0,695,18.0,20317.0,0.0,7 years,1.0,1
17,14000,13900.25,10.37,60,debt_consolidation,11.95,OH,RENT,4333.33,740,6.0,7419.0,0.0,9 years,0.0,1
18,10000,10000.0,9.76,36,credit_card,7.13,FL,RENT,2733.33,730,7.0,6112.0,2.0,3 years,0.0,1
19,5200,5175.0,9.99,60,debt_consolidation,10.29,AL,MORTGAGE,3750.0,760,10.0,16094.0,0.0,< 1 year,0.0,1
20,22000,21975.0,21.98,36,debt_consolidation,11.19,TX,MORTGAGE,6666.67,665,9.0,23124.0,0.0,10+ years,1.0,1
21,30000,30000.0,19.05,60,credit_card,21.25,FL,MORTGAGE,6250.0,695,12.0,34927.0,0.0,6 years,1.0,1
22,6500,6500.0,17.99,60,car,19.63,FL,RENT,4100.0,665,11.0,11697.0,1.0,2 years,1.0,1
23,17400,17400.0,11.99,36,credit_card,12.47,AZ,RENT,6833.33,695,7.0,26587.0,0.0,7 years,0.0,1
24,4000,4000.0,16.82,60,vacation,13.71,GA,MORTGAGE,4500.0,670,5.0,20804.0,0.0,3 years,1.0,1
25,7200,7200.0,7.9,36,debt_consolidation,24.82,TX,RENT,5416.67,705,8.0,12017.0,0.0,7 years,0.0,1
26,8000,8000.0,14.42,36,debt_consolidation,24.63,MA,RENT,2964.17,675,9.0,8928.0,2.0,6 years,1.0,1
27,8000,8000.0,15.31,36,debt_consolidation,15.46,CA,MORTGAGE,2916.67,675,13.0,7152.0,1.0,5 years,1.0,1
28,3000,3000.0,8.59,36,other,3.72,MA,MORTGAGE,4167.0,765,4.0,7074.0,0.0,5 years,0.0,1
29,14500,14500.0,7.9,36,debt_consolidation,4.85,GA,MORTGAGE,3958.33,760,4.0,9598.0,0.0,4 years,0.0,1
30,23850,23850.0,21.0,60,debt_consolidation,28.81,LA,MORTGAGE,5833.33,685,19.0,25968.0,3.0,9 years,1.0,1
31,14000,14000.0,12.12,36,debt_consolidation,14.93,CA,MORTGAGE,10583.33,685,9.0,35457.0,0.0,2 years,1.0,1
32,35000,34975.0,16.49,60,debt_consolidation,7.45,GA,MORTGAGE,10416.67,720,7.0,31414.0,0.0,8 years,1.0,1
33,16000,16000.0,15.8,60,car,11.94,WV,RENT,5250.0,685,14.0,154.0,1.0,3 years,1.0,1
34,17350,7019.25,13.55,36,debt_consolidation,18.52,NH,OWN,3666.67,675,8.0,18966.0,2.0,6 years,1.0,1
35,8000,7975.0,7.9,36,car,29.62,AL,MORTGAGE,5583.33,780,9.0,6065.0,1.0,10+ years,0.0,1
36,7200,7200.0,7.9,36,debt_consolidation,7.98,GA,RENT,5666.67,720,5.0,8783.0,0.0,3 years,0.0,1
37,20125,20125.0,7.62,36,home_improvement,4.29,VA,MORTGAGE,3750.0,830,13.0,73952.0,0.0,1 year,0.0,1
38,12000,11875.0,8.9,36,debt_consolidation,12.06,NY,RENT,5000.0,715,11.0,14717.0,0.0,4 years,0.0,1
39,2400,1850.0,12.49,36,home_improvement,20.56,MD,MORTGAGE,3448.33,660,10.0,18749.0,5.0,< 1 year,1.0,1
40,3200,3200.0,17.27,36,home_improvement,8.36,HI,MORTGAGE,2500.0,670,7.0,6619.0,1.0,3 years,1.0,1
41,12725,12725.0,11.14,36,debt_consolidation,22.15,TX,RENT,4416.67,720,23.0,4079.0,0.0,3 years,0.0,1
42,5500,5500.0,19.13,36,credit_card,3.58,DC,RENT,12000.0,660,2.0,0.0,1.0,8 years,1.0,1
43,15650,15650.0,21.74,36,house,13.86,MD,RENT,3700.0,660,5.0,10605.0,1.0,4 years,1.0,1
44,9000,9000.0,17.27,36,credit_card,25.22,CA,RENT,5166.67,675,14.0,5852.0,1.0,10+ years,1.0,1
45,5000,5000.0,11.86,36,major_purchase,4.0,TX,RENT,5577.0,715,3.0,1069.0,0.0,1 year,0.0,1
46,3000,3000.0,10.38,36,debt_consolidation,15.21,PA,RENT,3083.33,710,11.0,3098.0,0.0,2 years,0.0,1
47,20000,19975.0,23.91,60,debt_consolidation,9.47,CA,MORTGAGE,11250.0,670,5.0,11168.0,0.0,< 1 year,1.0,1
48,5450,5450.0,7.49,60,other,2.48,WA,MORTGAGE,4600.0,785,14.0,4326.0,0.0,10+ years,0.0,1
49,14000,14000.0,12.12,36,debt_consolidation,11.38,NY,MORTGAGE,4500.0,705,22.0,18583.0,0.0,5 years,1.0,1
50,8800,8799.04,10.38,60,credit_card,21.59,IL,RENT,3750.0,750,11.0,18694.0,1.0,2 years,0.0,1
51,3000,3000.0,17.44,36,other,15.79,MD,RENT,7952.0,660,4.0,12578.0,0.0,8 years,1.0,1
52,32000,32000.0,17.27,60,debt_consolidation,15.61,IL,RENT,9250.0,700,15.0,32566.0,1.0,2 years,1.0,1
53,22250,22250.0,21.49,60,debt_consolidation,28.87,HI,RENT,4166.67,665,15.0,14107.0,0.0,9 years,1.0,1
54,7325,7300.0,17.8,60,debt_consolidation,20.37,NY,OWN,3000.0,680,6.0,13583.0,0.0,5 years,1.0,1
55,16450,16450.0,11.14,36,debt_consolidation,7.57,NC,RENT,7500.0,725,5.0,2928.0,0.0,1 year,0.0,1
56,2500,2500.0,12.98,36,debt_consolidation,16.45,WI,RENT,1100.0,670,6.0,5019.0,1.0,4 years,1.0,1
57,6000,6000.0,9.99,36,other,7.5,FL,MORTGAGE,2625.0,715,4.0,5167.0,0.0,10+ years,0.0,1
58,27575,27575.0,14.33,36,debt_consolidation,19.63,CA,MORTGAGE,5166.67,690,6.0,8720.0,0.0,10+ years,1.0,1
59,1000,1000.0,8.59,36,educational,10.69,NY,OWN,4583.33,755,22.0,17069.0,1.0,< 1 year,0.0,1
60,12000,12000.0,11.49,36,debt_consolidation,12.85,IL,RENT,2708.33,705,8.0,12150.0,1.0,< 1 year,0.0,1
61,30000,30000.0,10.16,36,debt_consolidation,22.21,SD,MORTGAGE,8000.0,715,14.0,33218.0,0.0,10+ years,0.0,1
62,13500,13500.0,14.33,36,debt_consolidation,31.7,WV,RENT,4166.67,680,11.0,31168.0,0.0,1 year,1.0,1
63,9000,9000.0,15.8,36,debt_consolidation,22.65,OH,MORTGAGE,3250.0,665,9.0,16480.0,0.0,3 years,1.0,1
64,15000,15000.0,9.91,36,debt_consolidation,9.16,AK,MORTGAGE,4250.0,730,11.0,11615.0,1.0,10+ years,0.0,1
65,5300,5300.0,7.9,36,medical,12.82,CA,RENT,5500.0,725,8.0,9996.0,2.0,1 year,0.0,1
66,7000,7000.0,13.11,36,debt_consolidation,16.76,NJ,RENT,3650.0,685,12.0,6444.0,1.0,5 years,1.0,1
67,20000,19975.0,16.29,36,debt_consolidation,11.85,CA,RENT,9166.67,685,10.0,12421.0,3.0,< 1 year,1.0,1
68,15000,14993.57,18.25,60,debt_consolidation,13.65,CA,RENT,2916.67,705,4.0,12786.0,0.0,< 1 year,1.0,1
69,8000,8000.0,14.09,36,home_improvement,12.06,HI,RENT,5000.0,695,10.0,15360.0,1.0,6 years,1.0,1
70,24000,23947.48,19.03,60,debt_consolidation,3.63,CA,RENT,7500.0,695,6.0,8568.0,1.0,10+ years,1.0,1
71,7500,7500.0,8.9,36,debt_consolidation,10.02,DE,RENT,5500.0,715,9.0,2382.0,0.0,6 years,0.0,1
72,17000,16875.0,11.83,36,debt_consolidation,12.7,GA,RENT,4583.33,735,5.0,3644.0,1.0,6 years,0.0,1
73,12000,12000.0,17.27,36,credit_card,14.86,NJ,OWN,4583.33,665,12.0,9145.0,1.0,10+ years,1.0,1
74,6000,6000.0,15.31,36,other,15.91,MN,RENT,3833.33,670,11.0,5760.0,1.0,10+ years,1.0,1
